Bin,Omega,HistogramDD,HistogramDR,HistogramRR
140.25-140.50,0.000000,0,0,0
140.50-140.75,0.000000,0,0,0
140.75-141.00,0.000000,0,0,0
141.00-141.25,0.000000,0,0,0
141.25-141.50,0.000000,0,0,0
141.50-141.75,0.000000,0,0,0
141.75-142.00,0.000000,0,0,0
142.00-142.25,0.000000,0,0,0
142.25-142.50,0.000000,0,0,0
142.50-142.75,0.000000,0,0,0
142.75-143.00,0.000000,0,0,0
143.00-143.25,0.000000,0,0,0
143.25-143.50,0.000000,0,0,0
143.50-143.75,0.000000,0,0,0
143.75-144.00,0.000000,0,0,0
144.00-144.25,0.000000,0,0,0
144.25-144.50,0.000000,0,0,0
144.50-144.75,0.000000,0,0,0
144.75-145.00,0.000000,0,0,0
145.00-145.25,0.000000,0,0,0
145.25-145.50,0.000000,0,0,0
145.50-145.75,0.000000,0,0,0
145.75-146.00,0.000000,0,0,0
146.00-146.25,0.000000,0,0,0
146.25-146.50,0.000000,0,0,0
146.50-146.75,0.000000,0,0,0
146.75-147.00,0.000000,0,0,0
147.00-147.25,0.000000,0,0,0
147.25-147.50,0.000000,0,0,0
147.50-147.75,0.000000,0,0,0
147.75-148.00,0.000000,0,0,0
148.00-148.25,0.000000,0,0,0
148.25-148.50,0.000000,0,0,0
148.50-148.75,0.000000,0,0,0
148.75-149.00,0.000000,0,0,0
149.00-149.25,0.000000,0,0,0
149.25-149.50,0.000000,0,0,0
149.50-149.75,0.000000,0,0,0
149.75-150.00,0.000000,0,0,0
150.00-150.25,0.000000,0,0,0
150.25-150.50,0.000000,0,0,0
150.50-150.75,0.000000,0,0,0
